speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 1372 “AUDITORIO JOSÉ RUIZ” DEL 13 DE MARZO DE 1999
El JEFE DEL ESTADO MAYOR DE LAS FUERZAS ARMADAS, GENERAL EP, César Cano Angulo.—	 (Continúa pasando lista a los señores Contralmirante para que se acerquen a firmar el Libro de Actas). Contralmirante Macedo Marquina, Carlos. Contralmirante Palacios Dongo, Alfredo. Contralmirante Schenone Verdecchia, Rulfo. Contralmirante Martinelli Franz, César. Contralmirante Arboccó Licetti, Ricardo. Contralmirante Chávez Jonás, César. Contralmirante Arriarán Medina, Manuel. Contralmirante Graham Rojas, Alfredo. Contralmirante León Ravinez, Gironda. Contralmirante Noriega Flores, José. Contralmirante Monge Acuña, Jaime. Contralmirante Rodríguez Vélez, Juan. Contralmirante Tubino Arias Schereiber, Carlos. Contralmirante Bodini Tumez, Félix. Contralmirante Anaya Cole, Alfredo. Contralmirante Navarrete Salomón Ruiz. Contralmirante Castro Valdivieso, Juan. Contralmirante Smith Lima, William. Contralmirante (?) Alvarado, Frank. Contralmirante Gómez Morante, Jorge. Contralmirante Meza Angosto, Carlos. Contralmirante Cabrera Cavassi, Jorge. Contralmirante Belaunde Baca,  Jorge. Contralmirante Salcedo Migami, Eliseo, Contralmirante Gálvez Figari, Luis. Contralmirante Moriano Lindo, Guillermo. Contralmirante Ampuero Trabucco, Jorge. (2) Contralmirante Campana *Velasco, Jorge. Contralmirante Huerta Rodríguez, Mario. Contralmirante Ponce Monje, Raúl. Contralmirante Lora Solf, Manuel. Contralmirante Torres Terry, Alberto. Contralmirante Bravo Villarán, Augusto. Contralmirante Sierralta Fait, Juan. Contralmirante Haro Araujo, Raúl. Contralmirante Roncagliolo Goytizolo, Julio. Contralmirante José Mejía, Gonzalo. Contralmirante Hoster Araujo, Carlos. Contralmirante Loayza Regalado, Rafael. Contralmirante Fernández Lino, Ricardo. Contralmirante Félix Cabrera, Oscar. Contralmirante Arévalo Hernández, Ramón. Contralmirante Dancourt Adrianzen, Eduardo. Contralmirante Cáceres Morales Juvenal. Contralmirante Gorbitz Espinoza Werner. Contralmirante Montoya Manrique, Jorge. Contralmirante Gargurevich Guillén, José. Fuerza Aérea del Perú Mayor General Granthon Mayurí, Hernando. (3) Mayor General Morón Boulet (Ininteligible). Mayor General Magni Gómez Rolando. Mayor General Palomino Horna Pedro. Mayor General Del Carpio Rivera Jorge. Mayor General Crovetto Yañez Aurelio. Mayor General Sánchez Del Solar (?). Mayor General Barandiarán Ibañez Alfonso. Mayor General Raygada Cavagnaro Alfredo. Mayor General Malpartida Del Pino José. Mayor General Carpio Salas Pablo. Mayor General Palacios Rossi Carlos. Mayor General López Alvarado Rafael. Mayor General Denegri Ayllón Orlando. Mayor General Portillo Vásquez Carlos. Mayor General (?) Gustavo. Mayor General Mimbella Velarde Rubén. Mayor General Alvaro Lescano Juan. Mayor General Castellano Vega Jaime. Mayor General Lama Pérez Abel. Mayor General Rojas Barrantes Germán. Mayor General Sologuren Casas Luis. Mayor General Solano Vargas Julio. (4) Mayor General Lanao Vásquez, Ramiro. Mayor General Ríos Henry, Luis. Mayor General Domínguez Dongo, Santiago. Mayor General Salinas Ortega, Oscar. Mayor General Rivadeneyra Solís, Cornelio. Mayor General Barrantes Zuloeta, Luis. Mayor General Cortés Mantilla, César. Mayor General Raygada Cáceres, Luis. Mayor General León Barriga, Jorge. Mayor General Bastidas Hinostroza, León. Mayor General Echaíz Velásquez, Nelson. Mayor General Guillén Pacheco, Darío. Mayor General Cornejo Báez, Jorge. Mayor General Alarcón Boullón, David. Mayor General Colán Beltrán, Luis. Mayor General Ponce Garay, Luis. Mayor General Suárez D'alessio, Pedro. Mayor General Reyes Morales, Felipe. Mayor General Jaque Neyra, Luis. Mayor General Pérez Zegarra, Víctor. Mayor General Olazábal Arbulú, Pedro. Mayor General Garrido Garrido, José. Mayor General Valdivia Brundet, Luis. Mayor General Tafur del Águila, Orlando. Policía Nacional del Perú, (5) General Gamero Febres, Fernando. General Hurtado Ezquerre, Federico. General Sedano Soto, Jorge. General Rada Pérez, Carlos General Ramírez Vinatea, Luciano. General Díaz Navarro, José. General Villanueva Chirinos, Alfonso. General Besada Bringas, Orlando. General Hernani Fernández, Delfor. General Pérrigo Pérrigo, Luis. General Del Castillo Coloma, Gregorio. General Barrios Esquivel, Alfredo. General Del Castillo Valdivia, Dennis. General Nakamura Sakamoto, Marcelo. General Rojas Chávez, Ramiro. General Cáceres Burga, Guillermo. (6) General León Arredondo, José. General Santistevan De la Flor, Gilberto. General Cubillas Arizaga, Gerardo. General Vega Cruzado, Carlos. General Caballero Herrera, Ramón. General Huamán Del Solar, Víctor. General Del Águila Aluarte, Juan. General Herrera Rubianes, Aurelio. General Guevara Zegarra, Ramiro. General Mori Ramírez, Walter. General Castagnola (ininteligible) , Víctor. General Salas Higo, Julio. General Manrique Alcázar, Eduardo. General Del Castillo Villacrez, Icnio. General Linares Gilfa, Freddy. General Osorio Berrospi, Ítalo. General ...
Background	—Fin del vídeo N.° 1372. —Transcripción: viernes 6 de abril de 2001.
