speaker	speech
El señor MONTESINOS TORRES.—	 Todos los recursos (?) fondos publicitarios (?) las amenazas, el chantaje y no ha logrado la publicidad. Entones, hoy día les tenemos que dar una sorpresa que en la tarde debemos estar notificando la resolución que ha (?) la medida cautelar de manera tal que (?)
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 Por eso, en parte le tengo que comentar que soy responsable de haber aguantado esa medida cautelar porque quería conversar con ustedes.
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 Pero Valle Riestra me dijo no (?) sobre todo ver (?) por lo menos de parte de él (?) no le digo un enemigo, él es un competidor que (?) él ha generado todo este problema ahora. Si usted se pone a pensar (?)
"El señor		.—"	 Sí, en el mundo de los negocios cada uno defiende sus cosas y (?)
El señor MONTESINOS TORRES.—	 Así es.
"El señor 		.—"	 Ahora, (?) lo único que yo le puedo asegurar es (?) (Risas.)
El señor MONTESINOS TORRES.—	 Es nuevo, pues.
"El señor		.—"	 Todo viene de (?) fortalecer la fábrica. La fábrica, la misma fábrica la inauguró el presidente Menem hace  6 meses atrás exactamente igual con la única diferencia de que (?) es más moderna.
El señor MONTESINOS TORRES.—	 (?) claro, y la tecnología.
"El señor		.—"	 (?) y a la calidad s lo único que me va a permitir (?)
El señor MONTESINOS TORRES.—	 Claro, así es.
"El señor		.—"	 (?)
El señor MONTESINOS TORRES.—	 Así es.
"El señor		.—"	 Y a mí (?)
El señor MONTESINOS TORRES.—	 Yo tengo ...
"El señor		.—"	 No tengo ningún ...
El señor MONTESINOS TORRES.—	 No, no, (?)
"El señor		.—"	 (?) y lo único que me atrevo a decirle y que nosotros somos personas que trabajamos honorablemente (?) tenga la sus resoluciones adecuadas tanto la de (?) como la sede central con 80 personas como la de (?) familias que van a vivir en esta compañía.
El señor MONTESINOS TORRES.—	 Así es. Y además hay una cosa importante, de que la presencia de al fábrica va a traer desarrollo (?) ¿Por qué le digo? Porque, en primer lugar, va a tener un desarrollo arquitectónico (?)
"El señor		.—"	 (?)
