speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 1420 “REUNIÓN DE CORONELES DE LAS FUERZAS ARMADAS Y DE LA POLICÍA NACIONAL DEL PERÚ” DEL 19 DE MARZO DE 1999
—	 Los coroneles del Ejército se acercan al estrado oficial a firmar las actas. El PRESENTADOR sigue pasando lista: Coronel Gonzáles Campana Coronel Rey Coronel Rossell Coronel Miranda Coronel Pimentel Coronel Páucar Coronel Lobe Coronel Holguín Coronel Murillo Coronel Barandiarán Coronel Paredes Coronel Corcuera Coronel Sánchez Coronel Gómez Coronel Lavera Coronel Velasco Coronel Ayarza Coronel Sánchez Noriega Coronel Saavedra Coronel Bermúdez Coronel Meza Coronel Arias Coronel Conterno Coronel Arana Coronel Álvarez Coronel Bazán Coronel Hoyos Coronel Prado Coronel Acosta Coronel Rodríguez Coronel Bernal Coronel Aguirre Coronel Martos Se acaba de recibir una comunicación de parte del Comandante General del Ejército y Presidente del Comando Conjunto, en el sentido de que todos los señores coroneles y capitanes de navío deben ocupar sus asientos de inmediato que va a haber una modificación en la disposición dada. Por favor, los invito a tomar asiento. Se suspende la firma de actas. (Corte de vídeo.) Coronel Arévalo Varas Coronel Bonifaz Coronel Cheng Coronel Sánchez Zumaeta Coronel Huertas Coronel Balarezo Coronel Rodríguez Coronel Figueroa Coronel Sánchez Ayala Coronel Loyola Coronel Almeida Coronel Vera Coronel Lazo Coronel Guerrero Coronel Franco Coronel Holguín Ríos. (2) Coronel Mujica Coronel Pérez Coronel Rey Coronel Dávila Coronel Navarro Coronel Ruiz Coronel Cárdenas Coronel Villalobos Coronel Ramos Coronel Woll Coronel Talavera Coronel Autero Coronel Donayre Coronel Miranda Coronel Matallana Coronel Gómez Coronel Calderón Coronel López Coronel Monteverde Coronel Chávez Coronel Francia Coronel Díaz Coronel Flores Coronel Villa Coronel Gutiérrez Coronel Tamayo Coronel Delgado Núñez Coronel Chacón Coronel Villanueva Coronel Ibáñez Coronel Zubiaga Coronel Álvarez Coronel Montoya Coronel Luza Coronel Cerna Coronel Galdos Coronel Ávalos Coronel Núñez Coronel Nieri Baldovino Coronel Fabri Bazán Coronel Cáceres Coronel Villagra Coronel Bullosa Coronel Bustamante Coronel Espinosa Coronel Bisbal Coronel Yupanqui Coronel Rojas Coronel Coral Coronel Monzón Coronel Albrizzio Coronel Estremadoyro Coronel Barrantes Coronel Talavera Coronel Miranda Coronel Caro Coronel Carpio Chacón Coronel Zevallos del Águila Coronel Pradinett Coronel Elías Coronel Figueroa Coronel Valencia Coronel Cantoni Coronel Fernández Coronel Silva Coronel Cateriano Coronel Milla Coronel Castrillón (3) Coronel Contreras Rivas Coronel Pereda. Coronel Vargas. Coronel Sánchez. Coronel Zevallos. Coronel Matos.
Background	—Fin del vídeo N.° 1420. —Transcripción: martes 10 de abril de 2001.
