speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 1374 “AUDITORIO JOSÉ RUIZ” DEL 13 DE MARZO DE 1999
El señor JEFE DEL ESTADO MAYOR DE LAS FUERZAS ARMADAS, General EP César Cano Angulo.—	 (Continuando)... General Lanatta García Jesús General Borja Vera José General Rosado Minaya Laureano General Vásquez Rosales Julio
El PRESENTADOR.—	 Tomar asiento, por favor. En breves minutos termina esta acta de la firma del libro.
El señor JEFE DEL ESTADO MAYOR DE LAS FUERZAS ARMADAS, General EP César Cano Angulo.—	 General Vivanco Pinto Alfredo General Meza Málaga Enrique General Granda Denegri Diego General Zevallos Solano Rómulo General Yepez Dávalos Enrique General Huertas Toribio Edgardo General Vilca Sánchez Pedro General Pezo Wimblet José General Seclén Nuñez del Arco Oscar General Cateriano Portocarrero Jorge A continuación, se va a pasar a la firma del acta, de las 6 copias del acta; pero antes los señores oficiales Generales Ministros de Defensa y del Interior, Presidente del Comando Conjunto, Comandantes Generales, Director General de la Policía Nacional del Perú y miembros del Sistema de Inteligencia Nacional van a proceder a retirarse temporalmente.
Background	—Se retiran las personas antes mencionados.
El señor JEFE DEL ESTADO MAYOR DE LAS FUERZAS ARMADAS, General EP César Cano Angulo.—	 Señor Teniente General (Ininteligible) Merino Pablo Señor Vicealmirante Espinoza Espinoza Federico Señor Teniente General FAP Balarezo León Carlos Señor Teniente General FAP De Souza Peixoto Zumaeta Señor Teniente General FAP Martínez Adolfo Claudio. (2) Señor Teniente General FAP Granthon Stagnaro, Oscar. Mientras tanto, los señores oficiales generales y almirantes una vez que firmen pueden proceder a un refrigerio que ha sido reservado. Vicealmirante Ramos Ormeño, Víctor. Vicealmirante Falcón Maldonado, Martín. Teniente General Martínez Albújar. Barrantes (Ininteligible), Alfredo. General de División (Ininteligible). Vicealmirante Rodríguez Marticorena. General Tafur. General de División Indacochea Ballón. General de División Iriarte Mora. General Suttor. General Yanqui. General Sam. General Chacón. (3) General Cano. General Cáceres. General Burgos. General Félix Morales. General Delgado (?). General Espinoza Flores General José Horna General Vega Villafana. General Burga Torres. General Silva (?). General Calderón. General Valle La Mar. General (?) Rodríguez. General Vallejos Vizcarra. General Reyes Gil. General Cubas Portal. (?). (4)  General Villena Monzón; General Francisco Albavera; (?). General Arturo Castillo; General La Rosa (?); General (?). General (?) Mesones; General (?). General Rodríguez (?). General Araujo Calderón, General Freddy Tavera, General (?). General (?) Ruiz; General García Calderón; General Da Silva Gamarra; General Pandera Primo; General Raffo Ballón; General Ubilluz Cueto; General Herrera Rosas; General (?) Flores; General Beizaga (?). General Jesús (?). General Orellana Orteche; General Valencia Barrón; General Del Águila Horna; General Luis Yáñez; General Cáceda (?). (?). (?). (?). General Salazar (5) Lumilla. General (?) Víctor. General Huertas Rodríguez. General Germán Rojas. General Chacón Graña. General Pinar Torres. General Escobedo (?). General  Armes Seguro. General Fernández Baca. General León García. General Horacio Toledo. General Julio Cerna. General Juan Sarmiento. General Francisco Terada. General Rubén Gómez. General Willie Muñoz. General Luis Sablich. General Godinez Ramírez ...
Background	—Fin del Vídeo N.° 1374. —Transcripción : viernes 6 de abril de 2001.
