speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 1414 “REUNIÓN DE CORONELES DE LAS FUERZAS ARMADAS Y POLICIA NACIONAL DEL PERÚ” DEL 19 DE MARZO DE 1999 —Los oficiales se acercan a la mesa a firmar el Libro de Actas. El PRESENTADOR sigue pasando lista: (?) Carranza Coronel Saavedra Mendoza Coronel Altamirano Flores Coronel Gonzáles Santillán Coronel Moncada Núñez Coronel Urbina Portocarrero Coronel Grandez Ramírez Coronel Sánchez Escalante Coronel Castillo Espinoza Coronel Chávez Cornejo Coronel Guerra Seniec Coronel Enrique Maguiña Coronel García Pozo Coronel Santos Romero Coronel Arata Bustamente Coronel Rimachi Moreno Coronel Torres Baños Coronel López Farro Coronel López Camus Coronel Urbina Caballero Coronel Ruíz Briceño Coronel Chuan Canales Coronel Huapaya Camacho Coronel Arrascue Navarrete Coronel Medina Saldaña Coronel Chumo Morales Coronel Vásquez Saldaña Coronel Herrera Giulfo Coronel Delgado Vega Coronel Trigoso Zagaceta Coronel Quispe Reyes Coronel Monge Escobar Coronel Delgado Rosado Coronel Centurión Coronel Seminario Alegre Coronel Medina Cruces Coronel Granda Denegri Coronel Mori Chávez Coronel Castro Dulanto Coronel Roldán Bazán Coronel Guzmán Cárdenas Coronel Rojas Menéndes Coronel Valencia Miranda Coronel Montero Romero Coronel Chico Pinillos Coronel Menel Miranda Coronel Garavito Roncal Coronel Castillo Zevallos Coronel Núñez Sakane Coronel Muñante Enciso Coronel Fernández Silva Coronel León Romero Coronel Arce Cáceres Coronel Montoya Hernández Coronel Konja Chacón Coronel Rojas Benaute, y Coronel Huertas Huertas, Jorge. El señor OFICIAL DE LA MARINA.— (Continuando)... sello abajo, pegado a la raya. (2) Puede probar ahí; pegado a la raya. ¡Aleluya! —Los señores coroneles siguen firmando los diferentes documentos.
"El señor		.—"	 Éste es un ensayo, mañana repetimos lo mismo, pero ya sin errores.
Background	—Fin del Vídeo N.° 1414. —Transcripción: martes 10 de abril de 2001.
