speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 1371 “AUDITORIO JOSÉ RUIZ” DEL 13 DE MARZO DE 1999
El PRESENTADOR.—	 A continuación, tomar asiento, por favor. Antes que nada hacerles recordar a todos los señores oficiales generales y almirantes, que la Sesión N.° 5, esta sesión especial, también tiene el carácter de estrictamente secreto, todo debe  quedar en este auditorio. A continuación, vamos a llamar a los señores generales de división, vicealmirantes y tenientes generales, en orden de antigüedad, para que vayan firmando el libro de Actas. Se recuerda que en el libro está por instituciones y tienen a lápiz su nombre. Por favor, colocar su sello y su firma en el lugar establecido. Vicealmirante Zúñiga Mosone, Renán. Teniente General FAP, De Souza-Pexioto Zumaeta. Teniente General FAP, Martínez Angosto, Praele. Teniente General FAP, Fernando (Franco) Granthon Stagnaro. Vicealmirante Vander Ormeño, Víctor. Vicealmirante Falcón Maldonado, Enrique. Teniente General FAP, Barrantes Bolívar, Wilfredo. General de División, Ricardo Sotero Navarro. (2) Vicealmirante Rodríguez Maisderrena, Gonzalo. General de División, Tafur Ganoza, Carlos. General de División, Indacochea Ballón, Carlos. General de División, Leopoldo Uriarte Luna. Teniente General, Justo Hermosilla Fernández. General de División, Yanqui Cervantes, Juan. General de División, Jave Huangal, Walter. General de División, Chacón Málaga, Walter. General de División, Cano Ángulo.
El PRESENTADOR.—	 A continuación se va a proceder a llamar a los oficiales generales y almirantes por institutos y en orden de antigüedad. Por favor, solamente debe estar en el estrado un señor oficial de brigada. General de Brigada,  Pons Hans  Sotelo. General de Brigada, Ortega la Jara, Eduardo. General de Brigada, Alvarado Cornejo, Baltazar. (3) General de Brigada Cacho Bacas, José. General de Brigada Burgos León, Roger. General de Brigada Corrales Araníbar, Percy. General de Brigada Fernández Cáceres, Americo. General de Brigada Delgado Arenas, Luis. General de Brigada Sánchez Meza, Víctor. General de Brigada Espinoza Flores, Carlos. General de Brigada Moisés Horna, Antonio. General de Brigada Vegas Bizarraga, Luis. General de Brigada Huerta Torre, José. General de Brigada Silva Tejada, Edmundo. General de Brigada Calle Girón, Wilmer. General de Brigada Varela Gamarra, Manuel. General de Brigada Benavides Benavides, Carlos General de Brigada Vallejo Zapata, Elí. General de Brigada Jaime Patiño, Augusto. General de Brigada Cubas Portal, Luis. General de Brigada Gamero Chávez, Pedro. General de Brigada Villanueva Vidal, Oscar. General de Brigada Montoya Rodríguez, Marcial. General de Brigada Palacios Linares, Vicente. General de Brigada Villena Peñares, Rigoberto. General de Brigada Cárdenas Lecca, Gabriel. General de Brigada Aguilar Díaz, Helbert. General de Brigada O´Connor La Rosa, Raúl. General de Brigada Herrera Monzón, Luis. General de Brigada Moisés Portocarrero, Leonardo. General de Brigada Munar Avendaño, Luis. General de Brigada Mazuldo Castillo, Walter General de Brigada Alarcón Chávez, Félix General de Brigada Gómez de la Torre Ovalle, Oscar General de Brigada Muente Escobar, Luis General de Brigada Rodríguez Cesti, Aldo General de Brigada Araujo Calderón, Róger General de Brigada Reyes Tavera, Alfredo General de Brigada William Zapata, José General de Brigada Alatrista Rodríguez, Luis General de Brigada Díaz Calderón, Edmundo General de Brigada Da Silva Gamarra, Raúl General de Brigada Cabrera Tumo (?) General de Brigada Graham Ayllón, José.
El PRESENTADOR.—	 Tomar asiento los señores Oficiales Generales. General de Brigada Muñoz Huerto, Jorge General de Brigada Herrera Rosas, José General de Brigada Lira Torres, Juan General de Brigada Estrada Jiménez, Miguel General de Brigada De Souza Ferreyra Huapaya, Jorge General de Brigada Oliveros Pérez, Enrique General de Brigada Valencia Barrón, Amador General de Brigada Del Aguila Horna, Eduardo General de Brigada Villena Arias, José General de Brigada Cátter Astete, Walter General de Brigada López Morante, Eduardo General de Brigada Bájaros, Pedro General de Brigada Albarracín Torres, Luis General de Brigada Salazar Bornilla, Carlos General de Brigada Vega Betacourt, Bistor General de Brigada Huertas Godínez, Julio General de Brigada Ernau Rojas, José General de Brigada Chacón Reaño, Juan Luis General de Brigada Linares Torres, Herber General de Brigada Torres Vargas, José General de Brigada Escobedo Vamberger, Jorge General de Brigada Bardales Angulo, Carlos General de Brigada Fernández Baca Núñez, Benigno General de Brigada León García, Luis General de Brigada Morán Sotomayor Eduardo General de Brigada Cerna Lolas, Julio General de Brigada Sarmiento López, Juan General de Brigada Velarde Sota, Francisco General de Brigada Wong Venegas, Rubén General de Brigada Muñoz Díaz, Luis General de Brigada Sadwich Garaicoa, Luis General de Brigada Ramírez Rojas, Manuel General de Brigada Calle Gálvez, Hugo General de Brigada Moreno Rojas, Alejandro General de Brigada Figueroa Higueras, Marcial General de Brigada Baluarte Guevara, Edwin General de Brigada Urtecho Yañez, William General de Brigada De La Melena Reátegui, Carlos General de Brigada Sánchez Irelayza, Juan General de Brigada Urvier Coronado, Eduardo General de Brigada Romilla Contreras, Eladio General de Brigada Vega Seminario, Coello General de Brigada Vega Seminario, Bueno General de Brigada Mejía Ulfe, Emilio General de Brigada Pérez Del Aguila, Gerardo MARINA DE GUERRA DEL PERU Contralmirante Calizania Crespo, Rafael.
Background	—Fin del Vídeo N.° 1371 —Fecha de transcripción: jueves 5 de abril de 2001.
