Topic,Word_Count
topic_referendum,0
topic_ecuador,40898
topic_lucchetti_factory,49722
topic_municipal98,76887
topic_reelection,178073
topic_miraflores,23871
topic_canal4,76911
topic_media,208956
topic_promotions,59562
topic_ivcher,57069
topic_foreign,21316
topic_wiese,33971
topic_public_officials,14904
topic_safety,71067
topic_state_capture,85990
