Type_Merged,total_visits,unique_speakers
Bureaucrat,19,6
Businessperson,10,4
Congress,9,4
Foreign,9,4
Inner Circle,114,29
Media,31,6
Secuirty,10,4
Security,116,8
Security rival,2,1
NA,226,53
