topic,emotion,mean
"lucchetti_factory, safety",Pride,0.12576318660854702
"lucchetti_factory, safety",Sadness,0.0807067095180723
media,Anger,0.22953989748275916
media,Disgust,0.13190913719554456
media,Enthusiasm,0.33263786239804366
media,Fear,0.15321222645238095
media,Hope,0.09065167593525021
media,Joy,0.13772367832691687
media,None of Them,0.18355022504810126
media,None of them,0.6653606117612373
media,Pride,0.12393846681521518
media,Sadness,0.09508202738889904
media,NA,NA
"media, foreign",Anger,0.24042310871969697
"media, foreign",Disgust,0.46694235
"media, foreign",Enthusiasm,0.11239277267244897
"media, foreign",Fear,0.19186407387719298
"media, foreign",Hope,0.13273008504756756
"media, foreign",Joy,0.15743720607017544
"media, foreign",None of them,0.5988977891113924
"media, foreign",Pride,0.207311983326
"media, foreign",Sadness,0.09900752222727273
"media, foreign",NA,NA
"media, foreign, safety",Anger,0.1904104156821192
"media, foreign, safety",Disgust,0.04841662066666667
"media, foreign, safety",Enthusiasm,0.6146651038249027
"media, foreign, safety",Fear,0.17701149266666666
"media, foreign, safety",Hope,0.12460276530648148
"media, foreign, safety",Joy,0.15602908344444444
"media, foreign, safety",None of Them,0.16144870506923076
"media, foreign, safety",Pride,0.1406810583601695
"media, foreign, safety",Sadness,0.12971386901219512
"media, foreign, safety, state_capture",Anger,0.18450880808208955
"media, foreign, safety, state_capture",Disgust,0.174789272
"media, foreign, safety, state_capture",Enthusiasm,0.6282301588065099
"media, foreign, safety, state_capture",Fear,0.14920279698604652
"media, foreign, safety, state_capture",Hope,0.07763158640692641
"media, foreign, safety, state_capture",Joy,0.1443888258907285
"media, foreign, safety, state_capture",None of Them,0.22277492500986842
"media, foreign, safety, state_capture",Pride,0.08691569319428571
"media, foreign, safety, state_capture",Sadness,0.18874836921929825
"media, ivcher",Anger,0.24955144798507461
"media, ivcher",Disgust,0.084730250000000007
"media, ivcher",Enthusiasm,0.0874132561711111
"media, ivcher",Fear,0.07874407288888889
"media, ivcher",Hope,0.1080797854175
