file_id,topics,Anger,Enthusiasm,Fear,Hope,Joy,None of them,Pride,Sadness,Disgust,None of Them,NA
5,"lucchetti_factory, reelection",0.13210447621717172,0.06572713354186047,0.06417577155555555,0.08141112185136987,0.10592525596091953,0.7438185750590278,0.1498802105,0.12391802752592593,NA,NA,NA
6,"media, safety",0.2082060205815857,0.06785164553852041,0.20889969388135593,0.08576399088338871,0.13241287948304348,0.6575242904317647,0.1795604063726415,0.14377328059192546,0.19368222285714287,NA,NA
7,"municipal98, canal4, media",0.3193742043292683,0.11465010173133333,0.074107366625,0.11522786264383561,0.18198036471311474,0.5980564573067093,0.13833702939189188,0.05484540725,0.151519138375,NA,NA
8,"media, state_capture",0.13304344053252032,0.05660144998837209,0.05405119524,0.06356838682523365,0.08989193918181818,0.767365737092511,0.14110552323076922,0.10079073835714286,0.18915777666666667,NA,NA
9,"ecuador, media",0.18996067564935065,0.089974008769170985,0.18372823484,0.143167354768435,0.12201344595376344,0.6491577024886818,0.18206470451836734,0.10513877429787234,0.287284951,NA,NA
10,municipal98,0.2656464855498084,0.6522649574112426,0.197183092375,0.07251065926693227,0.1469537745175926,NA,0.08368839698446602,0.13173684829385965,0.061586693444444444,0.13688225977424243,NA
11,lucchetti_factory,0.1838543761600639,0.6925313973241253,0.12613212653947367,0.061651171456,0.11537489706982759,NA,0.08491927815860464,0.123888745865,0.21171118333333333,0.16581516531358026,NA
12,lucchetti_factory,0.27458968375,0.5696888960655737,0.037164136,0.11421636290625001,0.3618832519473684,NA,0.107906621203125,0.059529812625,NA,0.092828539,NA
13,"ivcher, foreign",0.12197523900925926,0.7870745165240964,0.05370361775,0.06025766928857143,0.1219559881,NA,0.05577531307311828,0.026767613,NA,0.06006407517647059,NA
14,referendum,0.2472352144,0.5848281464864865,0.13608858666666665,0.057655262785714284,0.122018362,NA,0.1405918103909091,0.19081465285714286,0.11862198,0.28345934266666667,NA
15,lucchetti_factory,0.17104121701732283,0.6767034650596394,0.11488891740434783,0.07741236110411764,0.15491714765359477,NA,0.109037611801875,0.14039153986507935,0.15917443811111112,0.15943527499173554,NA
16,"reelection, safety, state_capture",0.27597301294090637,0.5821925219256654,0.1222292805,0.12379326424559585,0.14894665753658537,NA,0.12620636409535865,0.058044143566666664,0.08141553641666667,0.19072134681764705,NA
17,safety,0.2058621678828685,0.6117091709808795,0.1529104086792453,0.11307756981428571,0.1411516245775862,NA,0.14615887431754385,0.12904050209444445,0.255100145,0.19523441380598291,NA
19,"foreign, safety",0.12071372333333333,0.42621129376190475,0.490398074,0.20876011109090908,0.11028680725,NA,0.2729560034375,NA,NA,0.25895711633333335,NA
20,"lucchetti_factory, safety",0.34871075100191257,0.5554188382826709,0.21151531578125,0.10745894050235294,0.14143226413232324,NA,0.12576318660854702,0.0807067095180723,0.11896240772413794,0.17146921048555555,NA
21,"reelection, state_capture",0.37277183103765327,0.5380932810367117,0.1492956249893617,0.09287590169263456,0.161761528865,NA,0.12152501225855615,0.08749039378583333,0.06606873547727272,0.17292984362808989,NA
22,state_capture,0.25945103272340425,0.5945957388712871,0.204645898,0.11052159682142856,0.23589652556250001,NA,0.138956487796875,0.12218094257894736,0.11823593,0.3304691168181818,NA
23,ecuador,0.3147381537630058,0.577898033925402,0.11344752452380952,0.09669626899047619,0.15377373895671642,NA,0.14804804271717173,0.111742048,0.27518233575,0.10340841912820513,NA
24,"media, foreign, safety",0.1904104156821192,0.6146651038249027,0.17701149266666666,0.12460276530648148,0.15602908344444444,NA,0.1406810583601695,0.12971386901219512,0.04841662066666667,0.16144870506923076,NA
25,"media, foreign, safety, state_capture",0.18450880808208955,0.6282301588065099,0.14920279698604652,0.07763158640692641,0.1443888258907285,NA,0.08691569319428571,0.18874836921929825,0.174789272,0.22277492500986842,NA
26,"referendum, reelection, safety",0.3390459408649547,0.5575607187712177,0.13253096451612903,0.11201851445791855,0.17716806282528735,NA,0.12409096668660714,0.06591026094525547,0.079414056,0.18937269728,NA
27,safety,0.211572035327833,0.6188763759218241,0.16840521060795455,0.07922939218289157,0.17789410526261262,NA,0.11476739129939577,0.148071534163253,0.24935847292592592,0.19481512487175143,NA
28,state_capture,0.26503046841954025,0.5797963783051948,0.18124752027941177,0.1298798444,0.12157012506153847,NA,0.14558223838403755,0.12068929778301887,0.0950841232142857,0.24871384654761905,NA
29,"miraflores, canal4",0.2179905191,0.6410547278655779,0.17524348884444443,0.10787648868278689,0.21061850718392858,NA,0.1299137248299578,0.09275482320588235,0.2362191725,0.13179375781132074,NA
30,"referendum, ecuador, reelection, state_capture",0.3620457932159091,0.5718117493935484,0.2353942598888889,0.08963652024590164,0.2354320705,NA,0.10305661149305556,0.07378502782,0.16826069000000002,0.15267088533333334,NA
31,"referendum, reelection, state_capture",0.3958571021439394,0.5807494981287878,0.056867752,0.07397462527580645,0.2142516764117647,NA,0.08573046777123287,0.11971156842857143,0.1858314475,0.12284324267692308,NA
32,"reelection, state_capture",0.22790437894239632,0.5796546604617284,0.1762163326875,0.08050959227888199,0.36070037120408166,NA,0.10724980294640885,0.09583785367948718,0.057120828166666665,0.2535393812857143,NA
33,"referendum, municipal98, media",0.16470515101290323,0.7338209641433121,0.09001646427272728,0.0639134567617801,0.1185201999164179,NA,0.07789327995821918,0.08139103295714285,0.07845333500000001,0.15075789962,NA
34,"municipal98, media",0.15698994475054545,0.7345649997784689,0.15569085699642857,0.07498505319525066,0.11017912298030302,NA,0.0743366667258567,0.1243658966884058,0.235623627,0.14769689007307693,NA
