Topic,Relative Word Count
topic_media,0.21058314083299212
topic_reelection,0.17735172323215154
topic_safety,0.09377052156647636
topic_state_capture,0.0815396679465686
topic_canal4,0.07227454282778495
topic_municipal98,0.07181679118026531
topic_promotions,0.054358491003345256
topic_ivcher,0.053739463986340844
topic_lucchetti_factory,0.04714262536987106
topic_ecuador,0.038293725905266654
topic_wiese,0.03201460942388962
topic_foreign,0.03059306844256279
topic_miraflores,0.022520608481346138
topic_public_officials,0.014001019801138779
topic_referendum,0.0
