speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 1373 “AUDITORIO JOSÉ RUIZ” DEL 13 DE MARZO DE 1999
El señor PRESENTADOR.—	 (Continúa llamando la lista). Contraalmirante Graham Rojas Ernesto. Contraalmirante León Ramírez Jirones. Contraalmirante Noriega Flores José. Contraalmirante Monje Acuña Jaime. Contraalmirante Rodríguez (?) Juan. Contraalmirante (?) Arias Schreiber Carlos. Contraalmirante (?) Antúnez Freddie. Contraalmirante Anaya Cole Alfredo. Contraalmirante Navarrete (?). Contraalmirante Castro Valdiviezo Juan. Luis Lima Cuya. Contraalmirante *Hoyes* Alvarado Juan. Contraalmirante Gómez (?) Jorge. Contraalmirante Meza Angosto Carlos. Contraalmirante Cabrera Cavassi Jorge. Contraalmirante Belaunde Vargas Jorge. Contraalmirante Salcedo Mitrani Eliseo. Contraalmirante (?) Cárdenas Tirali Luis. Contraalmirante Soreano Lindo Guillermo. Ampuero Radulfo Jorge. Contraalmirante Campana Tinajo Jorge. Contraalmirante Huertas Rodríguez (?). Contraalmirante Ponce Monje Raúl. Contraalmirante ...(salto de grabación) Contraalmirante Serrata (?) Juan. (2) Contralmirante Haro Araujo, Raúl. Contralmirante Roncagliolo Goytizolo, Julio. Contralmirante José Vicuña Luján Contralmirante López Albújar, Carlos. Contralmirante Loayza Regalado, Rafael. Contralmirante Fernández Lino, Ricardo. Contralmirante Félix Cabrera, Oscar. Contralmirante Fernández Arévalo, Ramón. Contralmirante Dancourt Adrianzen, Eduardo. Contralmirante Cáceres Morante, Juvenal. Contralmirante Montoya Manrique, Jorge. Contralmirante Gargurevich Guillén, José. FUERZA AÉREA DEL PERÚ Mayor General Bouroncle, Miguel. Mayor General Magni Flores, Rolando. Mayor General Palomino Horna, Pedro. Mayor General Del Carpio Rivera, Jorge. Mayor General Crovetto Yañez, Rogelio. Mayor General Sánchez Del Solar Quiñones Mayor General Barandiarán Ibañez, José. Mayor General Raygada Arnao, Alfredo. Mayor General Malpartida Del Pino, Jose. Mayor General Carpio Salas, Pablo. (3) Mayor General, Carpio Salas, Pablo. Mayor General, Palacios Rojas Salas. Mayor General, López Alvarado, Rafael. Mayor General, Denegri Ayllón, Orlando. Mayor General, Portillo Vásquez, Carlos. Mayor General, Vindela Velarde, Rubén. Mayor General, Álvarez Cano, Juan. Mayor General Capellán, Ruega Maine. Mayor General, Lamas Pérez, Abel. Mayor General, Rojas Barrantes, Hernán. Mayor General, Rolando Vargas, Funes. Mayor General, Granados Vásquez Ramírez. Mayor General, Ríos Inrich, Luis. Mayor General, Salinas Ortega, Oscar Mayor General, Rivadeneyra (?) Mayor General, Barrantes Zuloeta. Mayor General, Cortéz Mantilla, César. Mayor General, Cáceres Núñez. Mayor General, León Barriga, Borja. Mayor General, Bafigas Hinostroza, Leoncio. Mayor General, Efraín Velásquez N. Mayor General, Miguel Pacheco, Ramírez. Mayor General, Cornejo Valle. Mayor General, Alarcón Suyón, David. Mayor General, Juan Beltrán, Luis. Mayor General, Ponce Garay, Luis. (4) Mayor General Suárez Galecio, Pedro. Mayor General Reyes Morales, Enrique. Mayor General LLaque Neyra, Luis. Mayor General Pérez Zegarra. Mayor General Tafur Del Aguila Orlando. Policía Nacional del Perú. General Gamero Pérez, Fernando. General Soto Jorge. General (?) Pérez Ramos. General Ramírez Vinatea, Luciano. General Díaz Navarro. General Villanueva Chrinos, Alfonso. General Quesada Bringas, Orlando. (?). General Del Castillo Colona, Gregorio General Barrios Esquivel, Alfredo. General Del Castillo Valdivia, Denis. General Nakamura Sakamoto, Marcelo. General Cáceres Curra, Guillermo. General León Arredondo, José General Santisteban de la Flor, Gilberto. General Cubillas Arizaga, Abelardo. General Vega Cruzado, Carlos. (5) General Caballero Herrera, Ramón. General Huamán del Solar, Víctor. General Del Águila Baluarte, Juan. General Rubianes Jaramillo, Aurelio. General Morrison Ramírez, Walter. General Castagnola Simón, Benedicto. General Salas Pino, Julio. General Manrique Alcázar, Eduardo. General Del Castillo Igarréz (?). General Linares Chuilpa, Freddy. General Osorio Berrospi, (?). General Montenegro Arnaldi, Jesús. General Moltani Saco, Jorge. General Zavala Koja, Alejandro. General Granada García, Jesús. General Borja Vega, José. General Rosado Seminario, Laureano. General Vásquez Rosales, Julio.
El PRESENTADOR.—	 Tomar asiento, por favor, que en breves minutos termina el acta de la firma del libro. General (?) Pinto. General Meza Aliaga, Enrique. General Granda (?), Diego. General Zevallos del Solar, Rómulo. General Yepez Grados, Enrique. General Huertas OrGrillo, Eduardo. General Vilca Sánchez, Eliseo. (6) General Tisoc Uribe, José. General Seclén Núñez, Del arco, Ursa.
Background	—Se acercan a firmar el Libro de Actas cuatro generales más, pero no se escucha el nombre de los oficiales. —Terminado el acto de firmas de los señores oficiales de las Fuerzas Armadas y de la Policía Nacional, los altos mandos del Ejército, Marina, Fuerza Aérea y Policía Nacional, en compañía del señor Vladimiro Montesinos Torres, proceden a retirarse de la reunión. 
El señor PRESENTADOR.—	 Tomar asiento, por favor. Señores, tomar asiento, les voy a explicar la mecánica para proceder con la ... (?).
Background	—Fin del Vídeo N.° 1373. —Transcripción: viernes 6 de abril de 2001.
