speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 1427 “REUNIÓN DE CORONELES DE LAS FUERZAS ARMADAS Y POLICÍA NACIONAL DEL PERÚ” DEL 19 DE MARZO DE 1999 —Ingresan a las instalaciones de la Fuerza Aérea del Perú los oficiales del Ejército y de la Marina.
El señor PRESENTADOR.—	 A continuación todos vamos a proceder a sentarnos. Voy a dar las palabras de inicio de la Sesión Especial N.° 7 del Comando Conjunto y vamos a iniciar esta sesión entonando los cuatro himnos que corresponden a nuestras instituciones en el orden que está establecido: Ejército, Marina, Fuerza Aérea, Policía Nacional del Perú. Para el efecto se les ha repartido a cada uno de ustedes un folleto en el cual están los cuatro himnos. A continuación van a venir las palabras de saludo del Ministro de Defensa, se va a proceder a abrir la sesión, el Presidente del Comando Conjunto realizará una breve exposición de la situación. De ahí vamos a dar lectura al acta de la sesión N.° 5. A continuación la lectura del acta... (Corte de vídeo.) ... de sello en el Libro de Actas, porque en el Libro de Actas cada dos renglones está el nombre de cada uno de ustedes en orden de antigüedad. O sea, que a la hora que ustedes se acerquen al lugar donde está ubicado el Libro de Actas, esa mesa chiquita, en orden de antigüedad pueden firmar. En ese Libro de Actas está el nombre completo de cada uno de ustedes, ahí no van a sellar. Calculo que unas veinte o treinta personas van a firmar el Libro de Actas con la presencia completa de la Mesa, de la Mesa Principal. Todos nuevamente en la misma ubicación para terminar la sesión. Y escuchen ustedes las palabras de despedida y entonemos el himno “Gigantes del Cenepa”. Para la firma de las actas les recomiendo lo siguiente: en cada... (Corte de vídeo.)
Background	—Las bandas de música de las Fuerzas Armadas toman posición para entonar sus respectivos himnos.
El señor PRESENTADOR.—	 Se invita al personal a tomar asiento.
Background	—Se entonan las notas de bienvenida al señor Ministro de Defensa, General EP don Julio Salazar Monroe.
El señor OFICIAL.—	 Señor ministro de Defensa, permiso para descansar las armas.
Background	—Hace su ingreso a las instalaciones de la Fuerza Aérea el señor Ministro de Defensa, acompañado de los altos mandos del Ejército, la Marina, la Aviación y la Policía Nacional, y del doctor Vladimiro Montesinos Torres. —El señor Ministro de Defensa recibe el saludo respectivo.
El señor OFICIAL.—	 Permiso, mi General. Todo está listo para dar inicio a la sesión del Comando Conjunto.
Background	—El señor Ministro de Defensa y sus acompañantes se dirigen al estrado ubicándose en sus respectivos lugares. —El señor Ministro de Defensa se pone de pie y hace uso de la palabra.
El señor MINISTRO DE DEFENSA, General EP don Julio Salazar Monroe.—	 Señores, buenas tardes. Tomar asiento.
El señor PRESENTADOR.—	 Permiso, señor Ministro, para dar inicio a la sesión del Comando Conjunto. Señores coroneles y capitanes de navío: Con la participación del señor General del Ejército don Julio Salazar Monroe, Ministro de Defensa; del señor General de División don José Villanueva Ruesta, Ministro del Interior; del señor General del Ejército don César Saucedo Sánchez, Presidente del Comando Conjunto de las Fuerzas Armadas y Comandante General del Ejército; del señor Almirante Américo Ibárcena Amico, Comandante General de la Marina de Guerra del Perú; del señor General del Aire Elesván Bello Vásquez, Comandante General de la Fuerza Aérea del Perú; del señor Teniente General Fernando Dianderas Ottone, Director General de la Policía Nacional del Perú; del señor Contralmirante Humberto Rozas Bonuccelli, jefe del Servicio de Inteligencia Nacional; y del señor doctor Vladimiro Montesinos Torres, Asesor de la Alta Dirección del Sistema de Inteligencia Nacional, se va a realizar la Sesión Especial N.° 7 del Comando Conjunto de las Fuerzas Armadas, con participación de la Policía Nacional del Perú y estamentos del Sistema de Inteligencia Nacional. Dando inicio a la Sesión Especial N.° 7 del Comando Conjunto de las Fuerzas Armadas, entonaremos los himnos de los Institutos Armados y de la Policía Nacional del Perú. Ponerse de pie.
Background	—Se entonan las notas del himno del Ejército Peruano.  —Fin del Vídeo N.° 1427. —Transcripción: viernes 6 de abril de 2001.
