speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 1419 “REUNIÓN DE CORONELES DE LAS FUERZAS ARMADAS Y DE LA POLICÍA NACIONAL DEL PERÚ” DEL 19 DE MARZO DE 1999 —Continúan acercándose al estrado oficial los coroneles de las Fuerzas Armadas y Policía Nacional del Perú para firmar las Actas. El PRESENTADOR continúa llamando: Coronel, Burga Colchado. Coronel, Vera Betancourt. Coronel, Valle Tomisich. Coronel, Ugarte Silva. Coronel, Alaluna Lora. Coronel, Quispe Muñoz. Coronel, Romero Pineda. Coronel, Vizcarra Mogrovejo. Coronel, Acosta Balcázar. Coronel, Fernández García. Coronel, Saldarriaga Carrasco. Coronel, Beltrán Lora. Coronel, Mansilla La Hoz. Coronel, Paredes Gómez. Coronel, Sánchez Diez. Coronel, Bustinza Luzcando. Coronel, Sánchez Jaramillo. Coronel, Gonzales Campana. Coronel, Rey Velásquez. Coronel, Rosell Chong. Coronel, Miranda Rocha. Coronel, Pimentel Arenas. Coronel, Páucar. Coronel, Lovett Ginés. Coronel, Olguín Ortega. Coronel, Murillo Villacorta. Coronel, Barandiarán Raygada. Coronel, Paredes Olgado. Coronel, Corcuera Minchola. Coronel, Sánchez Pacheco. Coronel, Gómez Valverde. Coronel, La Vera Hernández. Coronel, Velasco Marticorena. Coronel, Ayarza Richer. Coronel, Sánchez Noriega. Coronel, Saavedra Valdez. Coronel, Bermúdez Lara. Coronel, Meza Romero. Coronel, Arias Córdova. Coronel, Coterno Gutiérrez. Coronel, Arana Gómez. Coronel, Alvarez Torres. Coronel, Bazán Cabellos. Coronel, Hoyo Vinatea. Coronel, Prado La Rosa. Coronel, Acosta Burda. Coronel, Rodríguez Colchado. Coronel, Bernal Neyra. Coronel, Aguirre Alván. Coronel, Martos Rojas. Coronel, Marrou Villegas. Coronel, Jiménez Jordán. Coronel, Cusicanqui Vera. Coronel, Lazo Tejada. Coronel, Bernal Rodríguez. Coronel, García Ramírez. Coronel, Arévalo Varas. Coronel, Bonifaz Bedón. Coronel, Cheng Galessio. Coronel, Sánchez Zumaeta. Coronel, Huertas León. Coronel, Balarezo La Riva Luis. Coronel, Rodríguez Antinori. Coronel, Figueroa Gonzales. Coronel, Sánchez Ayala. Coronel, Loyola Vera. Señores: Los señores ministros, el alto mando y los señores miembros del Servicio de Inteligencia Nacional, van a proceder a retirarse para regresar nuevamente al finalizar la firma de todas las copias de las Actas. Aproximadamente calculamos que entre 9 y 9 y 30; sin embargo, vamos a estar en constante coordinación. Con todos: ¡Atención! —Los señores ministros, el alto mando y los señores miembros del Servicio de Inteligencia Nacional, proceden a retirarse del estrado oficial.
El PRESENTADOR.—	 Tomar asiento y escuchar el procedimiento que vamos a seguir. A continuación van a firmar el Libro de Actas y todas las copias de las Actas. Subir los coroneles que van a ayudar en el proceso de la firma de las Actas. Pon 06 sillas para que se puedan ubicar bien. Para evitar que haya confusión, vamos a empezar nuevamente. Los que ya firmaron el libro, pasan de frente a las Actas. Les voy a pedir de que vengan a medida que los voy llamando para evitar desorden. Coronel, Milla, acérquese para colaborar. Coronel, López Ramírez Tulio. Coronel, Milisich. Coronel, Olivo Paccini. Coronel, Aranibal Samalvides Pablo. Coronel, Pinto Ramos. Atenderme antes de que se retiren. Para evitar también que estén sentados mucho tiempo en forma aburrida, se quedan los del Ejército, el resto pueden ir a tomar un refrigerio. Callarse, pero los de la Marina deben estar atentos para venir en orden. Coronel, Morán Reyna. Coronel, López Molina. Coronel, Haro Paz. Coronel, Mendoza Gavilano. Coronel, Rebaza Armas. Coronel, Quevedo Neyra. Coronel, Castañeda Mosto.
Background	—Mucho cuidado con poner el sello de cabeza. Coronel, Ruiz Tello. Coronel, Rivera Azabache. Coronel, Ramírez Mas. Coronel, Figueroa Gonzales. Coronel, Morante Farfán. Coronel, Gutiérrez Peña. —Fíjese bien dónde está su nombre, pónganse lentes. Coronel, Montes Vásquez. Hay algunos que nos han venido y tienen que dejar el sitio vacío. (2) Coronel, Esparza Morgan. Coronel, Bandini Izquierdo. Coronel, Salas Rebatta. Coronel, Arbulú Seminario Coronel, Bellgherí Villarán. Coronel, Díaz Núñez. Coronel, Vidal Valdivieso. Coronel, Ramos Alay. Coronel, Ortega Delgado. Coronel, Urteaga. Coronel, Rúa Nogueira. Coronel, Belleza Vargas. Coronel, Salazar Encinas. Coronel, Zevallos Ibazeta. Coronel, Rolando Lombardi. Coronel, Aguilar Basurto. Coronel, Valencia Ponce Coronel, Santillán Zuta. Coronel, Mendiola Ciurlizza. Coronel, Salinas Monar. Coronel, Torres Zamalloa. Coronel, Arana Rotta. Coronel, Alvarado Toro. Coronel, Leonardo La Rosa. Coronel, Salas Medina. Coronel, Olivares Velasco. ¿Dónde está Olivares? ¿Olivares? No ha venido. ¿Ha venido? Apurarse, coronel, Olivares. Coronel, Lizárraga Lazo. Coronel, Berríos. Coronel, Berríos. Putamadre, son unos imbéciles. Vamos a esperar, pues, al Coronel, Olivares Velasco y al Coronel, Berríos Liendo que vengan. Cuatro días les voy a poner a cada uno.
"El Coronel,		.—"	 Hola, mi coronel, ¿cómo está? Mucho gusto verlo. Aquí estoy de tramitador de piso.
El PRESENTADOR.—	 Coronel, Olivares. Berríos, bien. Coronel, Berríos. ¿Dónde está Rúa? ¿Qué, faltaba? Recién está viniendo. Coronel, Berríos. Coronel, Olivares. Coronel, Arévalo Moscoso. Coronel, Núñez del Prado. Coronel, Castillo Cataldo.
Background	—Por favor, cuando los llame díganme, ¡Presente! Coronel, Portilla Arteta. Coronel, Alvarado Bellard. Coronel, Ruelas Torreblanca Coronel, Medina Flores Coronel, Barnet Azpur. Coronel, Amán Pinedo. ¿Amán? Recién lo estoy llamando. Coronel, Pérez Argüelles. Cuando tiene que firmar el libro es partir de acá, Almeyda ya le indicas, tiene que firmar el Libro de Actas y tiene que firmar las Actas.
"El señor		.—"	 ¿Todos los que están firmando todavía no vienen?
El PRESENTADOR.—	 Todo estos de acá, hasta acá han firmado el libro; de aquí para acá, desde Almeyda firman libro y acta. Coronel, Solís Chumacero.
Background	—Ahora sí te dejo. Que te digan presente y que levanten la mano, sino después no vas a poder chequear quién falta. —Asume un nuevo presentador, según el audio. El PRESENTADOR continúa llamando: Coronel, Castillo Uribe. Coronel, Nakarino. Coronel, Mendoza Coronel, Carbajal Coronel, Príncipe Coronel, Tomás Delgado. Coronel, Alvizuri. Coronel, Reynoso. Coronel, Ramos. Coronel, Gutiérrez. Coronel, Cárdenas. Coronel, Beingolea. Coronel, Burga. Coronel, Vera Betancourt. Coronel, Valle. Coronel, Ugarte. Coronel, Alaluna. Coronel, Quispe. Coronel, Romero. Coronel, Vizcarra. Coronel, Acosta. Coronel, Fernández. Coronel, Saldarriaga. Coronel, Beltrán. Coronel, Mansilla. Coronel, Paredes. Coronel, Sánchez Diez. Coronel, Bustinza. Coronel, Sánchez Garvío. —Fin del Vídeo N.° 1419. —Transcripción: martes 10 de Abril de 2001.
