speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 1421 “REUNIÓN DE CORONELES DE LAS FUERZAS ARMADAS Y DE LA POLICÍA NACIONAL DEL PERÚ” 19 DE MARZO DE 1999
El PRESENTADOR.—	 Se continúa pasando lista: Coronel Torres Peña. Coronel Boggio Coronel Vizcarra Coronel Gómez Coronel Alfaro Coronel Villegas Coronel Quintanilla Coronel Del Castillo Coronel Rejanovinshi Coronel Gallegos Coronel Gasco Coronel Domínguez Coronel Grande Coronel Gálvez Coronel Roncal Coronel Roca Coronel Cavagnaro Coronel Ugaz Coronel Polsen Coronel Villalobos Coronel San Román Coronel Benavides Coronel Rojas Guerrero Coronel Briceño Coronel Guillén Coronel Torres Vega Coronel Arias Coronel Vásquez Coronel Hinojosa Coronel Elías Coronel Vargas Coronel Arista Se avisa a todos los capitanes de navío que el punto de reunión es a las 9 y media en el cuartel Salaverry. 9 y media en el cuartel Salaverry el punto de reunión. Coronel Ágreda Coronel Zavaleta Coronel Peñarrieta Coronel Albarracín Coronel Palacios Coronel Chuquiure Coronel Mendoza Los de la mesa no saluden que están demorando. Milla, deje de saludar, pues, mire la demora que está ocasionando. Coronel Burreito Coronel Bizarreta Coronel Noriega Coronel Ilia Coronel Rivas Coronel Dodero Coronel Rengifo Coronel Castañeda (2) Coronel Aguirre Coronel Jiménez Coronel Icochea Coronel Ripalda Coronel Aguilar Coronel Moncada Coronel Rivera Coronel Herrera Coronel Vizcardo Coronel Torrejón Coronel Herrán Coronel Vargas Coronel Villón Coronel Núñez Vargas Coronel Valera Coronel Ruíz Coronel Araujo Coronel Zamudio Coronel Meza Coronel Huamán Coronel Fernández Robles Coronel Robles Del Castillo Coronel Chávez Núñez Coronel Zevallos Coronel Díaz Coronel Goycochea Coronel Velásquez Loayza Coronel Veyan Coronel Barrantes Limo Coronel Tejada Coronel Sánchez Elera Coronel Ayín Coronel Valera Coronel Rojo Coronel Ponce Coronel Soria Coronel Caballero Coronel Caldas Coronel Granda Zamudio Coronel Delgado Díaz. (3) Coronel, Sánchez Icochea. Coronel, Zavala. Coronel, Soria Alfaro. Coronel, Valenzuela. Coronel, Castañeda. Coronel, Gonzales. Coronel, Berrocal. Coronel, Mixon. Coronel, Sánchez Olivares. Coronel, Patrón. Coronel, Ponce De León. Coronel, Choque. Coronel, Maisundo. Coronel, Goycochea. Coronel, Rodríguez Córdova. Coronel, Camargo.
El señor General.—	 Se les pide a los señores Coroneles que se acercan a firmar...
El señor  Presentador.—	 Coronel, Silva.
El señor General.—	 ... que lo hagan en forma rápida. No se estén preocupando por saludar a sus compañeros que están en la mesa porque ese saludo son 5 segundo más por caneo. Vamos a terminar a las 11 de la noche.
El señor Presentador.—	 Coronel, Gulcarien. Coronel, Estela. Coronel, Izaguirre. Coronel, Cáceres. Coronel, Alatrista. Coronel, Luna. Coronel, Jiménez. Coronel, Paz Zavala. Coronel, Orihuela. Coronel, Pérez. Coronel, Solano. Coronel, Velásquez. Coronel, Tácuna. Coronel, Valdivia. Coronel, Moreno.
Background	—Fin del Audio N° 1421. —Transcripción: martes 10 de Abril de 2001.
