speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA DEL 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 1431 “REUNIÓN DE CORONELES DE LAS FUERZAS ARMADAS Y POLICÍA NACIONAL DEL PERÚ” DEL 19 DE MARZO DE 1999 —Se observa en el estrado que altos oficiales de las Fuerzas Armadas y de la Policía Nacional están firmando y sellando unos documentos: César Saucedo Sánchez, José Villanueva Ruesta, Antonio Ibárcena Amico, Elesván Bello Vásquez, Fernando Dianderas Ottone, Julio Salazar Monroe, Humberto Rozas.
El PRESENTADOR.—	 Señores, a continuación, en orden de antigüedad vamos a ir llamando a los señores coroneles para que todos vengan a firmar el Libro de Actas. Se recuerda que en el Libro de Actas no existen sellos y está escrito el nombre de cada uno de ustedes, firmando en ese lugar. Coronel de Infantería López Ramírez, Tulio Coronel de Infantería Talavera Velásquez, Alfredo Coronel de Infantería Ramicich Torres, Carlos Coronel (?) Puccini Coronel Aranivar Ramírez, Pablo Coronel Enzo Ramos,(?) Coronel Morán Reyna, Pablo Coronel López Medina, Leopoldo Coronel Aro Paz, Bernardino Coronel Mendoza Gavilano, Pedro Coronel Rebaza Arias, Antonio Coronel Jimeno Díaz, Walter Coronel Chacaliaza Ostos, José Coronel Rivera Azabache, Charlie Coronel Ramírez(?) Coronel Figueroa Gonzales, Hugo Coronel Donato Farfán, José Coronel Gutiérrez Peña, Héctor Coronel Vásquez Montes, Moisés Coronel Esparza Morgan, César Coronel Bandini Izquierdo, Luis Coronel Harold Rebaza, Víctor Coronel Arbulú Centenario, Eduardo Coronel (?) Miñán, Walter Coronel Díaz Núñez, Juan Coronel Irán Valdiviezo, Alejandro Coronel Ramos (?), Guillermo Coronel Ortega Regalado, Oscar Coronel Urteaga Díaz, Juan Coronel Gunnar Godoy, Alfredo Coronel Belleza Vargas, Víctor Solamente se acercan los que son llamados. Coronel Salazar Encinas, Julio Coronel Sevallos Ibazeta, Miguel Coronel Rolando Vargas, Dennis Coronel Aguilar Alfonso, Toribio Coronel Valencia Ponce, Juan Coronel Santillán Tupac, Julián Coronel (?), César Coronel Salinas Morán, Félix Coronel Torres Ravanal, Luis Coronel Arana Rojas. (2) Coronel Alvarado Torres Coronel Leonardo La Rosa Coronel Sandro Medina Coronel Hernán Velasco Coronel Lizárraga Durand Coronel   (?) Coronel Arévalo Puccos Coronel Núñez del Prado Coronel Castillo Casango Coronel Portilla Meza Coronel Alvarado Rubianes Coronel Ronald Carhuamaca Coronel  Medina Flores Coronel Bambarén Gastulo Coronel Germán Pinedo Coronel Pérez Ruiz Coronel Miguel Chumacero Coronel Castillo Núñez Coronel Nacarino Rodríguez Coronel Mendoza García Coronel Agafardo Díaz Coronel Príncipe Gambini Coronel Delgado Arenas Coronel    (?) Coronel Renato Díaz Coronel Pablo Cruz Coronel Gutiérrez Rodas Coronel Cárdenas Figueroa Coronel Benvenuto Aguirre Coronel Gunnar Colchado Coronel Vega De Santur Coronel Valle Mezzich Coronel Ugarte Cépeda Coronel Amador  (?) Coronel Quispe Muñoz Coronel Gomero Pineda Coronel Vizcardo Cornejo Coronel Acosta Balcázar Coronel Fernández García Coronel Saldarriaga Carrasco Coronel Beltrán Rodas Coronel Manchego Coronel Paredes Gómez Coronel Sánchez Diez Coronel Bustinza Camposanto Coronel Sánchez Jaramillo Coronel Gonzáles Campana Coronel Ruiz Velásquez (3)  Coronel De la Fuente Tumo Coronel Loayda Troncha Coronel (?) Dávilas Coronel Paúcar Coronel (?) Coronel Olguin Ortega Coronel Muñiz Villacorta Coronel Barandiarán José Granda Coronel Paredes Ubando Coronel Contreras (?) Coronel (?) Coronel Bueno Valverde Coronel Valer Fernández Coronel Velasco Marticorena Coronel Ayarsa (?) Coronel (?) Echandía Coronel (?) Coronel Fernández Lara Coronel Dexter Roberto Coronel Ávila Córdova Coronel Soteldo Gutiérrez Coronel Arana (?) Coronel Alvarez Torres Coronel (?) Carrillos Coronel (?) Coronel Prado (?) Coronel Acosta (?) Coronel Rodríguez Colchado Coronel (?) Neyra Coronel (?) Galván Coronel Marcos Rojas Coronel (?) Villegas Coronel (?) Coronel Isaac Tudela Coronel Marcos Tejada Coronel Bernard Rodríguez Coronel García Ramírez Coronel Arévalo Adas Coronel Bonifaz Bedón Coronel Chen Galipio (4) Coronel Sánchez Zumaeta Coronel Huertas León Coronel Balarezo Hernández-Ruiz Coronel Rodríguez Antonioni Coronel Figueroa Gonzales Coronel Sánchez Aliaga Coronel Bayona Vera Tomar asiento. Señores, los señores Ministros, el Alto Mando y los señores miembros del Servicio de Inteligencia Nacional van a proceder a replegarse para regresar nuevamente al finalizar la firma de todas las copias de las Actas, aproximadamente calculamos entre nueve y nueve y media, sin embargo, vamos a estar en constante coordinación. Con todos, atención.
Background	—Fin del Vídeo N.° 1431. —Transcripción: viernes 6 de abril de 2001.
