speaker	speech
Background	 Departamento de Transcripciones CONGRESO DE LA REPÚBLICA SEGUNDA LEGISLATURA ORDINARIA DE 2000 TRANSCRIPCIÓN DEL VÍDEO N.° 1413 “REUNIÓN DE CORONELES DE LAS FUERZAS ARMADAS Y POLICIA NACIONAL DEL PERÚ” DEL 19 DE MARZO DE 1999 —Los señores oficiales se apersonan para estampar su firma.
El señor PRESENTADOR.—	 Coronel Acuña Timoteo. Coronel Astor Rayme. Coronel Carrión Cotrina. Coronel Rodríguez Gómez. Coronel Maguiña Igúsquiza. Coronel Montoya Villanueva. Coronel Vizcarra Benavides. Coronel Miranda Ramírez. Coronel Carrillo (?). Coronel Santivañez Marini. Coronel Benavides Espinoza. Coronel Rodríguez Pérez. Coronel Mezarina Combe. Coronel Núñez Bolaños. Coronel Linares Rázuri. Coronel Beraún Ramos. Coronel Ampuero Rubio. Coronel Hermozo Pea. Coronel Ríos Naranjo. Coronel Vargas Mandeza. Coronel Ishinozi Konami. Coronel Cruz Alvarado. Coronel Mateo Cueros. Coronel Iván Ferreyra. Coronel María Espinoza. Coronel Santos Muñoz. Coronel Zamalloa Cáceres. Coronel Perea Saavedra, Carlos Coronel Vega Mattos Benitez. Coronel Canales Rodrich. Coronel Díaz Romero. Coronel Paz Zavaleta. Coronel Bazán Alfaro. Coronel Chávez Torres. Coronel Valencia Rosas. Coronel Pérez Calderón. Coronel Vásquez Quiroz. Coronel Losada Costa. Coronel Espejo Ártico. Coronel Torres Araujo. Coronel Cargoña Indata. Coronel Espinoza Mattos. Coronel Tello Echegaray. Coronel Sáenz Díaz. Coronel Bellón Cáceres. Coronel Ruíz Aguayo. Coronel Castro Bendezú. (2) Coronel Santa María Panza. Coronel Ríos Cossío. Coronel Juárez Molino. Coronel Moscoso Cornejo. Coronel Ríos Zegarra. Coronel Rondón Ramos. Coronel Pachas Flores. Coronel Mesías Rabanal. Coronel Amador Zuzunaga. Coronel Hinostroza Soto. Coronel Balaguer Rosas. Coronel Airazaman Sifuentes. Coronel Cáceres Mayi. Coronel (?). Coronel Medina Bringas. Coronel Castañeda Pacheco. Coronel Salgado Ulloa. Coronel Dulanto Arias. Coronel Bertigo Bagua. Coronel Pereira Gómez. Coronel Alva Rodríguez. Coronel Hernán Muñoz. Coronel Landerre Zorritos. Coronel Salazar Miranda. Coronel Hidalgo Medina. Coronel Benavides Ramírez. Coronel Guerrero Marchan. Coronel Haro Iparraguirre. Coronel Gandulfo Amonzón. Coronel Ríos Ríos. Coronel Aybar Malca. Coronel Remigio Maguiño. Coronel Delgado Medina, Luis. Coronel Casapía Bardales. Coronel Gadeo Olivera. Coronel Saldaña Guerra. Coronel García Hernández. Coronel Carbajal Palomino. Coronel Rebata Espíritu. Coronel Ortega Palacios. Coronel Torres Gálvez. Coronel Chuquillanqui. Coronel Alanya Martínez. Coronel Valdez Celestino. Coronel Padilla Campos. Coronel Zuñiga Lazo. Coronel Garay Serpa. Coronel Velásquez Vildoso. (3) Coronel Pisconte Yañez. Coronel Ventura Huamán. Coronel Cabrera Novoa. Coronel Seminario Portugal. Coronel Cross Withrow. Coronel Seccarini Laravedo. Coronel Loayza Vargas. Coronel García Flores. Coronel Roa Burneo. Coronel Higa Porras Coronel Chavarría Mendívil. Coronel Acosta Alarcón. Coronel Vásquez Valderrama. Coronel Montoya Pizarro. Coronel Cueva Chafloque. Coronel Soto Barrera. Coronel Araníbar Samalvides. Coronel Lancho Ramos. Coronel Elías Ríos. Coronel Jara Regalado Coronel González Camacho. Coronel Bazán Pérez. Coronel Zevallos Velásquez. Coronel Quiñonez Carbajal. Coronel Ames Balarín. Coronel Gómez La Rosa. Coronel Mogollón Vilchez. Coronel Simón Pérez. Coronel Pía Babilonia Coronel García Panduro Coronel Vilca del Castillo. Coronel Vásquez Sánchez.
Background	—Fin del Vídeo N.° 1413. — Transcrito: martes 10 de abril de 2001.
