Chronological order	Codigo	Fecha de exhibición	Fecha de recepción	Fecha del evento	Tipo de información	Titulo	Read?	Duplicates?	In book? (Y / N)	If yes: Tomo/Chapter	Moved to modified transcript folder?			
40	1196	2/20/01	2/19/01	8/14/1998	audio	REUNION DR - DR. CERPA - DR. BRINGAS - ING. JOY WAY #2	X	continuation of 1195	Y	3/ 5.12	X			
41	1169	3/15/01	3/12/01	8/20/1998	video	GENERAL EP HERMOZA R√çOS - GENERAL EP VILLANUEVA RUESTA - GENERAL PNP DIANDERAS O. - GENERAL FAP ELESB√ÅN BELLO - ALMIRANTE IB√ÅRCENA - GENERAL EP SALAZAR MONROE - GENERAL EP SAUCEDO - DR. MONTESINOS TORRES - ING. ALBERTO FUJIMORI	X		Y	6/ 10.2	X			
42	1168	3/15/01	3/12/01	8/20/1998	video	GENERAL EP HERMOZA R√çOS - GENERAL EP VILLANUEVA RUESTA - GENERAL PNP DIANDERAS O. - GENERAL FAP ELESB√ÅN BELLO - ALMIRANTE IB√ÅRCENA - GENERAL EP SALAZAR MONROE - GENERAL EP SAUCEDO - DR. MONTESINOS TORRES - ING. ALBERTO FUJIMORI	X	duplicate of 1169	Y	6/ 10.2	x			
43	M04-2	6/30/01	5/21/01	8/20/2000	video	IVACHINI EN EL AEROPUERTO	X	Note: the original date was incorrect; transcripts not included in shared folder	Y	5/ 8.14				
44	M04-3	6/30/01	5/21/01	4/14/1998	video	REGISTRO DOMICILIARIO IVACHINI	X	Note: the original date was incorrect; transcripts not included in shared folder, 	Y	5/ 8.15				
	M04-1	6/30/01	5/21/01	8/18/2000	video	REUNI√ìN IVACHINI - DIPLOM√ÅTICOS	X	Note: the original date was incorrect; transcripts not included in shared folder	Y	5/ 8.13				
46	1192	1/23/01	1/23/01	9/22/1998	video	GAMARRA O. "AMIGO LUCHO": LUIS AYBAR CANCHO O LUIS VENERO GARRIDO	X		Y	4/ 6.3	X			
47	1230	3/2/01	2/27/01	10/12/1998	video	EX CONGRESISTA TRELLES MONTERO - ING. ALBERTO FUJIMORI	X		Y	5/ 8.7	X			
48	1199	7/16/01	5/28/01	10/12/1998	audio	REUNI√ìN DR. - BOROBIO - JULIO VERA	X	duplicate of 1197	Y	1/ 2.2	X			
49	1197	7/16/01	5/28/01	10/12/1998	video	REUNI√ìN DR. - BOROBIO - JULIO VERA	X		Y	1/ 2.2	X			
50	1201	3/8/01	3/5/01	10/14/1998	video	SR. JOS√â FRANCISCO CROUSILLAT - DR. MONTESINOS TORRES	X	duplicate of 1200	Y	1/ 2.3	X			
51	1200	3/8/01	3/5/01	10/14/1998	video	SR. JOS√â FRANCISCO CROUSILLAT - DR. MONTESINOS TORRES	X		Y	1/ 2.3	 X			
52	1317	2/12/01	2/10/01	9/14/1998	video	DR ROMULO MU√ëOZ - MEDELIUS	X	continuation of 1318, Note: the original date was incorrect; 9/14/98 is the correct date.	Y	3/ 5.13	X			
53	1318	2/12/01	2/10/01	9/14/1998	video	DR ROMULO MU√ëOZ - MEDELIUS	X	Note: the original date was incorrect; 9/14/98 is the correct date.	Y	3/ 5.14	X			
54	1321	2/12/01	2/10/01	11/12/1998	video	DR ROMULO MU√ëOZ -MONTESINOS	X		Y	3/ 5.15	X			
55	1300	5/21/01	5/15/01	12/7/1998	video	DR. MONTESINOS TORRES - GENERAL EP VILLANUEVA RUESTA - OFICIALES EP	X		Y	6/ 10.4	X			
56	1302	5/21/01	5/15/01	12/7/1998	video	DR. MONTESINOS TORRES - GENERAL EP VILLANUEVA RUESTA - OFICIALES EP	X	duplicate of 1300	Y	6/ 10.4	X			
57	1301	5/21/01	5/15/01	12/7/1998	video	DR. MONTESINOS TORRES - GENERAL EP VILLANUEVA RUESTA - OFICIALES EP	X		Y	6/ 10.3	X			
58	1299	5/21/01	5/15/01	12/7/1998	video	DR. MONTESINOS TORRES - GENERAL EP VILLANUEVA RUESTA - OFICIALES EP	X	duplicate of 1301	Y	6/ 10.3	X			
59	861	6/5/01	5/21/01	2/10/1998	audio	ALMUERZO LUCCHETTI - DR.	X	blank	Y	1/ 1.2	Blank	Note: the original date was incorrect; 02/10/98 is the correct date.		
60	859	6/5/01	5/21/01	2/10/1998	audio	LUCCHETTI - DR.	X		Y	1/ 1.3	X	Note: the original date was incorrect; 02/10/98 is the correct date.		
61	860	6/5/01	5/21/01	2/10/1998	audio	LUCCHETTI - DR.	X	blank	Y	1/ 1.3	X	Note: the original date was incorrect; 02/10/98 is the correct date.		
62	858	6/5/01	5/21/01	2/10/1998	audio	ALMUERZO LUCCHETTI - DR.	X		Y	1/ 1.2	X	Note: the original date was incorrect; 02/10/98 is the correct date.		
63	1289	3/6/01	3/5/01	12/31/1998	audio	CONGRESISTA CARLOS FERRERO - DR. MONTESINOS TORRES	X	contained within 1290	Y	4/ 6.4	X			
64	1290	3/6/01	3/5/01	12/31/1998	audio	CONGRESISTA CARLOS FERRERO - DR. MONTESINOS TORRES	X		Y	4/ 6.4	X			
65	1292	3/10/01	2/21/01	1/5/1999	video	CONGRESISTA JOY WAY ROJAS - SRA. MAR√çA CUCULIZA TORRE - DR. MONTESINOS TORRES	X		Y	3/ 5.18	X			
66	1349	3/9/01	3/5/01	2/26/1999	video	SR. JOS√â FRANCISCO CROUSILLAT - SRA. GISELA VALC√ÅRCEL A. - DR. MONTESINOS TORRES - SR. JOS√â ENRIQUE CROUSILLAT	X		Y	1/ 2.4	X			
67	1350	3/9/01	3/5/01	2/26/1999	video	SR. JOS√â FRANCISCO CROUSILLAT - SRA. GISELA VALC√ÅRCEL A. - DR. MONTESINOS TORRES - SR. JOS√â ENRIQUE CROUSILLAT	X	duplicate of 1349	Y	1/ 2.4	X			
68	1348	3/9/01	3/5/01	2/26/1999	video	SR. JOS√â FRANCISCO CROUSILLAT - SRA. GISELA VALC√ÅRCEL A. - DR. MONTESINOS TORRES - SR. JOS√â ENRIQUE CROUSILLAT	X	continuation of 1349	Y	1/ 2.4	X			
69	1347	3/9/01	3/5/01	2/26/1999	video	SR. JOS√â FRANCISCO CROUSILLAT - SRA. GISELA VALC√ÅRCEL A. - DR. MONTESINOS TORRES - SR. JOS√â ENRIQUE CROUSILLAT	X	duplicate of 1348	Y	2/ 4.7	X			
70	1374	4/6/01	4/4/01	3/13/1999	video	GENERAL EP SALAZAR MONROE - GENERAL EP VILLANUEVA R. - GENERAL EP SAUCEDO S. - ALMIRANTE IB√ÅRCENA AMICO - GENERAL FAP BELLO V√ÅSQUEZ - GENERAL PNP DIANDERAS O. - CONTRALMIRANTE ROSAS - OFICIALES FFAA - OFICIALES PNP - DR. MONTESINOS TORRES	X	1368-1374	Y	6/ 10.11	X			
